Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
56,Sven Botman,nl NED,DF,Newcastle Utd,23-304,2000,5,5,446,5,1,1,2,1,0,0,1,0,0.3,0.3,0.7,1,0,9,2,0.2,0.2,0.4,0.2,0.4,0.06,0.14,0.2,0.06,0.2
57,Jarrod Bowen,eng ENG,FW,West Ham,26-327,1996,11,11,989,11,7,1,8,7,0,0,1,0,4.6,4.6,1.8,6.4,25,15,58,0.64,0.09,0.73,0.64,0.73,0.42,0.16,0.58,0.42,0.58
58,Jarrad Branthwaite,eng ENG,DF,Everton,21-138,2002,10,10,900,10,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,0,21,1,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
59,Rhian Brewster,eng ENG,FW,Sheffield Utd,23-225,2000,5,2,165,1.8,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,1,11,0,0,0,0,0,0.01,0.03,0.05,0.01,0.05
60,Armando Broja,al ALB,FW,Chelsea,22-063,2001,3,2,121,1.3,1,0,1,1,0,0,0,0,0.5,0.5,0,0.5,4,2,9,0.74,0,0.74,0.74,0.74,0.4,0,0.4,0.4,0.4
61,Andre Brooks,eng ENG,"MF,FW",Sheffield Utd,20-084,2003,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
62,David Brooks,wls WAL,"FW,MF",Bournemouth,26-127,1997,8,2,229,2.5,1,0,1,1,0,0,1,0,1.5,1.5,0.6,2.1,5,16,18,0.39,0,0.39,0.39,0.39,0.58,0.23,0.81,0.58,0.81
63,Jacob Brown,sct SCO,"MF,FW",Luton Town,25-216,1998,11,7,575,6.4,0,0,0,0,0,0,2,0,1.9,1.9,0.6,2.5,14,8,31,0,0,0,0,0,0.29,0.09,0.39,0.29,0.39
64,Josh Brownhill,eng ENG,MF,Burnley,27-328,1995,11,8,780,8.7,2,0,2,2,0,0,1,0,0.6,0.6,0.8,1.4,8,27,15,0.23,0,0.23,0.23,0.23,0.07,0.09,0.16,0.07,0.16
65,Jacob Bruun Larsen,dk DEN,"FW,MF",Burnley,25-054,1998,11,0,191,2.1,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,11,4,25,0.47,0,0.47,0.47,0.47,0.21,0.06,0.27,0.21,0.27
66,Hugo Bueno,es ESP,DF,Wolves,21-055,2002,6,1,145,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7,3,13,0,0,0,0,0,0.11,0.07,0.19,0.11,0.19
67,Facundo Buonanotte,ar ARG,"MF,FW",Brighton,18-324,2004,3,1,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0,2,4,0,0,0,0,0,0.13,0.19,0.32,0.13,0.32
68,Reece Burke,eng ENG,DF,Luton Town,27-071,1996,8,7,595,6.6,0,1,1,0,0,0,1,0,0.4,0.4,0.4,0.8,0,24,9,0,0.15,0.15,0,0.15,0.06,0.06,0.12,0.06,0.12
69,Dan Burn,eng ENG,DF,Newcastle Utd,31-187,1992,11,11,945,10.5,1,0,1,1,0,0,2,0,1,1,0.5,1.5,7,32,15,0.1,0,0.1,0.1,0.1,0.09,0.05,0.14,0.09,0.14
70,Mason Burstow,eng ENG,FW,Chelsea,20-100,2003,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,Moisés Caicedo,ec ECU,MF,Chelsea,22-010,2001,9,8,713,7.9,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.5,4,43,7,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06
72,Tom Cairney,sct SCO,MF,Fulham,32-296,1991,9,2,171,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.8,2,13,5,0,0,0,0,0,0.08,0.33,0.4,0.08,0.4
73,Dominic Calvert-Lewin,eng ENG,FW,Everton,26-241,1997,9,7,575,6.4,3,0,3,3,0,0,0,0,2.9,2.9,0.2,3.1,10,9,27,0.47,0,0.47,0.47,0.47,0.45,0.04,0.48,0.45,0.48
74,Thomas Cannon,ie IRL,FW,Everton,20-319,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Diego Carlos,br BRA,DF,Aston Villa,30-242,1993,7,3,277,3.1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0,12,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12
76,Casemiro,br BRA,MF,Manchester Utd,31-262,1992,8,8,648,7.2,1,0,1,1,0,0,1,0,1.8,1.8,0.3,2.1,8,55,24,0.14,0,0.14,0.14,0.14,0.25,0.04,0.29,0.25,0.29
77,Matty Cash,pl POL,"DF,MF",Aston Villa,26-097,1997,11,11,933,10.4,2,1,3,2,0,0,3,0,3,3,1.1,4.2,25,26,37,0.19,0.1,0.29,0.19,0.29,0.29,0.11,0.4,0.29,0.4
78,Timothy Castagne,be BEL,DF,Fulham,27-342,1995,8,7,648,7.2,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,17,31,35,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06
79,Jonny Castro,es ESP,MF,Wolves,29-254,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
