Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,Drib_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,Drib_gca,Sh_gca,Fld_gca,Def_gca,Pass SCA Ratio,Deadball SCA Ratio,Dribble SCA Ratio,Shot SCA Ratio,Fouls Drawn SCA Ratio,Defense SCA Ratio,Cluster
31,Stuart Armstrong,sct SCO,MF,Southampton,30,1992,15.6,50,3.2,39,1,0,6,4,0,2,0.13,1,0,0,0,1,0,0.78,0.02,0.0,0.12,0.08,0.0,5
39,Jordan Ayew,gh GHA,FW,Crystal Palace,30,1991,30.2,78,2.59,53,0,9,6,7,3,8,0.27,5,0,1,1,1,0,0.6794871794871795,0.0,0.11538461538461539,0.07692307692307693,0.08974358974358974,0.038461538461538464,0
40,Luke Ayling,eng ENG,DF,Leeds United,30,1991,22.8,40,1.75,33,0,0,3,2,2,1,0.04,1,0,0,0,0,0,0.825,0.0,0.0,0.075,0.05,0.05,3
43,Leon Bailey,jm JAM,FW,Aston Villa,24,1997,21.9,62,2.84,40,2,10,7,3,0,8,0.37,5,0,0,3,0,0,0.6451612903225806,0.03225806451612903,0.16129032258064516,0.11290322580645161,0.04838709677419355,0.0,0
48,Harvey Barnes,eng ENG,FW,Leicester City,24,1997,30.1,63,2.09,43,0,3,9,7,1,14,0.46,8,0,1,2,2,1,0.6825396825396826,0.0,0.047619047619047616,0.14285714285714285,0.1111111111111111,0.015873015873015872,0
56,Saïd Benrahma,dz ALG,FW,West Ham,26,1995,23.0,92,4.0,68,2,11,8,3,0,5,0.22,4,0,1,0,0,0,0.7391304347826086,0.021739130434782608,0.11956521739130435,0.08695652173913043,0.03260869565217391,0.0,5
57,Rodrigo Bentancur,uy URU,MF,Tottenham,25,1997,16.7,34,2.04,27,0,1,2,1,3,5,0.3,2,0,0,1,0,2,0.7941176470588235,0.0,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.08823529411764706,5
62,Philip Billing,dk DEN,MF,Bournemouth,26,1996,30.7,54,1.76,41,2,5,5,1,0,6,0.2,4,0,0,2,0,0,0.7592592592592593,0.037037037037037035,0.09259259259259259,0.09259259259259259,0.018518518518518517,0.0,5
66,Jarrod Bowen,eng ENG,FW,West Ham,25,1996,35.9,108,3.01,58,15,10,13,10,2,14,0.39,6,3,0,2,3,0,0.5370370370370371,0.1388888888888889,0.09259259259259259,0.12037037037037036,0.09259259259259259,0.018518518518518517,2
71,Emi Buendía,ar ARG,MF,Aston Villa,25,1996,26.8,90,3.36,72,2,8,3,4,1,10,0.37,7,0,1,2,0,0,0.8,0.022222222222222223,0.08888888888888889,0.03333333333333333,0.044444444444444446,0.011111111111111112,5
74,Dan Burn,eng ENG,DF,Newcastle Utd,30,1992,34.6,40,1.16,35,2,0,3,0,0,3,0.09,3,0,0,0,0,0,0.875,0.05,0.0,0.075,0.0,0.0,3
76,Moisés Caicedo,ec ECU,MF,Brighton,20,2001,34.9,88,2.52,81,0,2,3,1,1,5,0.14,5,0,0,0,0,0,0.9204545454545454,0.0,0.022727272727272728,0.03409090909090909,0.011363636363636364,0.011363636363636364,3
77,Tom Cairney,sct SCO,MF,Fulham,31,1991,11.0,45,4.1,35,4,1,2,2,1,3,0.27,3,0,0,0,0,0,0.7777777777777778,0.08888888888888889,0.022222222222222223,0.044444444444444446,0.044444444444444446,0.022222222222222223,5
81,João Cancelo,pt POR,DF,Manchester City,28,1994,14.2,39,2.76,30,0,2,5,1,1,6,0.42,5,0,1,0,0,0,0.7692307692307693,0.0,0.05128205128205128,0.1282051282051282,0.02564102564102564,0.02564102564102564,5
86,Casemiro,br BRA,MF,Manchester Utd,30,1992,23.6,68,2.88,61,0,0,5,2,0,8,0.34,8,0,0,0,0,0,0.8970588235294118,0.0,0.0,0.07352941176470588,0.029411764705882353,0.0,3
88,Timothy Castagne,be BEL,DF,Leicester City,26,1995,36.2,51,1.41,44,2,1,2,1,1,5,0.14,4,0,0,1,0,0,0.8627450980392157,0.0392156862745098,0.0196078431372549,0.0392156862745098,0.0196078431372549,0.0196078431372549,3
90,Julio César Enciso,py PAR,FW,Brighton,18,2004,9.0,45,5.02,28,0,9,6,2,0,7,0.78,3,0,2,1,1,0,0.6222222222222222,0.0,0.2,0.13333333333333333,0.044444444444444446,0.0,0
95,Ben Chilwell,eng ENG,DF,Chelsea,25,1996,15.6,39,2.49,19,17,0,1,2,0,4,0.26,2,1,0,0,1,0,0.48717948717948717,0.4358974358974359,0.0,0.02564102564102564,0.05128205128205128,0.0,4
96,Ryan Christie,sct SCO,MF,Bournemouth,27,1995,20.4,66,3.24,48,5,5,5,3,0,4,0.2,3,0,0,1,0,0,0.7272727272727273,0.07575757575757576,0.07575757575757576,0.07575757575757576,0.045454545454545456,0.0,5
105,Lewis Cook,eng ENG,MF,Bournemouth,25,1997,19.1,39,2.04,27,8,0,0,1,3,4,0.21,2,1,0,0,0,1,0.6923076923076923,0.20512820512820512,0.0,0.0,0.02564102564102564,0.07692307692307693,1
110,Vladimír Coufal,cz CZE,DF,West Ham,29,1992,23.7,52,2.19,36,13,0,1,2,0,3,0.13,2,1,0,0,0,0,0.6923076923076923,0.25,0.0,0.019230769230769232,0.038461538461538464,0.0,1
114,Aaron Cresswell,eng ENG,DF,West Ham,32,1989,24.8,73,2.94,43,27,0,2,1,0,1,0.04,0,1,0,0,0,0,0.589041095890411,0.3698630136986301,0.0,0.0273972602739726,0.0136986301369863,0.0,4
118,Diogo Dalot,pt POR,DF,Manchester Utd,23,1999,23.9,52,2.17,48,0,1,2,0,1,2,0.08,2,0,0,0,0,0,0.9230769230769231,0.0,0.019230769230769232,0.038461538461538464,0.0,0.019230769230769232,3
122,Josh Dasilva,eng ENG,MF,Brentford,23,1998,15.4,42,2.72,36,1,3,1,1,0,7,0.45,5,0,1,0,1,0,0.8571428571428571,0.023809523809523808,0.07142857142857142,0.023809523809523808,0.023809523809523808,0.0,3
124,Ben Davies,wls WAL,DF,Tottenham,29,1993,25.4,37,1.46,33,1,0,3,0,0,7,0.28,5,0,0,2,0,0,0.8918918918918919,0.02702702702702703,0.0,0.08108108108108109,0.0,0.0,3
128,Kevin De Bruyne,be BEL,MF,Manchester City,31,1991,26.9,176,6.55,120,33,8,7,5,3,31,1.15,24,3,1,1,2,0,0.6818181818181818,0.1875,0.045454545454545456,0.03977272727272727,0.028409090909090908,0.017045454545454544,1
134,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,23,1998,25.6,78,3.04,61,0,8,2,5,2,9,0.35,6,0,1,0,1,1,0.782051282051282,0.0,0.10256410256410256,0.02564102564102564,0.0641025641025641,0.02564102564102564,5
137,Luis Díaz,co COL,FW,Liverpool,25,1997,11.1,41,3.7,29,0,7,3,2,0,6,0.54,3,0,2,1,0,0,0.7073170731707317,0.0,0.17073170731707318,0.07317073170731707,0.04878048780487805,0.0,0
145,Abdoulaye Doucouré,ml MLI,MF,Everton,29,1993,17.0,45,2.65,38,0,3,2,0,2,3,0.18,3,0,0,0,0,0,0.8444444444444444,0.0,0.06666666666666667,0.044444444444444446,0.0,0.044444444444444446,3
146,Cheick Doucouré,ml MLI,MF,Crystal Palace,22,2000,30.8,61,1.98,48,0,2,5,2,4,6,0.2,4,0,0,1,0,1,0.7868852459016393,0.0,0.03278688524590164,0.08196721311475409,0.03278688524590164,0.06557377049180328,5
152,Lewis Dunk,eng ENG,DF,Brighton,30,1991,36.0,32,0.89,31,0,0,1,0,0,2,0.06,2,0,0,0,0,0,0.96875,0.0,0.0,0.03125,0.0,0.0,3
156,Odsonne Édouard,fr FRA,FW,Crystal Palace,24,1998,20.0,44,2.2,32,0,1,9,2,0,4,0.2,4,0,0,0,0,0,0.7272727272727273,0.0,0.022727272727272728,0.20454545454545456,0.045454545454545456,0.0,5
159,Harvey Elliott,eng ENG,MF,Liverpool,19,2003,17.9,75,4.19,62,1,5,5,1,1,10,0.56,10,0,0,0,0,0,0.8266666666666667,0.013333333333333334,0.06666666666666667,0.06666666666666667,0.013333333333333334,0.013333333333333334,3
